"","value_obs","run1","run2","run3","run4","run5","run6","run7","run8","run9","run10"
"40",366.84,371.063912196134,378.805623296104,368.657290182046,369.639576643214,354.609631859375,360.382453151805,338.395882671711,360.681213297767,353.547573537578,365.810182922913
"41",368.54,372.83100577646,380.739791458585,370.338382386636,371.469977018334,355.875263641596,361.851679359975,339.650955495276,362.133311393698,355.143026793226,367.431064558465
"42",369.71,374.551138506873,382.628497680902,371.967849839383,373.270443646737,357.088594481903,363.271769801465,340.903244856505,363.530216741955,356.721409459784,369.004665988291
"43",371.32,376.349670414547,384.597385101413,373.673145925507,375.159689277167,358.375746097873,364.769168935833,342.250535833079,364.999366407551,358.387146504965,370.65640979895
"44",373.45,378.072644178006,386.492743888218,375.300420465129,376.979809167383,359.583136271208,366.187980630985,343.521053047065,366.387826537374,359.973746986034,372.231007481887
"45",375.98,379.902698729542,388.496181840142,377.035161990677,378.908365509741,360.899606772082,367.710740467455,344.881775413038,367.882379104532,361.64798777788,373.910044829566
"46",377.7,381.793309699388,390.561646878926,378.830354653378,380.89814897098,362.276235149012,369.289080904949,346.282980033712,369.435660434615,363.363952978348,375.646170543273
"47",379.98,383.908905496427,392.853650211517,380.849116068031,383.118423909139,363.873266482269,371.086999805398,347.901456343877,371.210354146512,365.299873644975,377.603823855575
"48",382.09,386.122859683266,395.24746259697,382.965988891014,385.43687185584,365.562931980929,372.976872488533,349.588932326289,373.078704307902,367.312780798519,379.655742331648
"49",384.02,388.460154526842,397.768290734314,385.20590787974,387.877582030935,367.370024844416,374.983164057585,351.367272477295,375.065785727526,369.425687811132,381.829305963359
"50",385.83,390.867321859165,400.362904178608,387.513733785277,390.393409059552,369.234444877684,377.05113706783,353.201522062187,377.114668790727,371.604255639799,384.071918102536
"51",387.64,393.145875037795,402.833143509194,389.690793206006,392.788180330597,370.955662511321,378.982871079096,354.899316799793,379.025485804658,373.655654114548,386.1853178241
"52",390.1,395.378353437212,405.260879091589,391.821176855323,395.14211912854,372.622272821018,380.864406557833,356.542760702751,380.883936320132,375.658072728927,388.25343822967
"53",391.85,397.8364622471,407.916672282404,394.175526964589,397.728259352204,374.506036043583,382.965946166626,358.407552664408,382.961825154844,377.884245763804,390.547007659314
"54",394.06,400.413677590386,410.69525808959,396.646588691331,400.440686446871,376.495301422282,385.175926537925,360.369441359888,385.149644267616,380.215527959541,392.958494573262
"55",396.74,403.052622204546,413.5392635427,399.176066318153,403.223099265974,378.530940738897,387.434949326502,362.368796818282,387.389098561986,382.593112260152,395.429337851894
"56",398.81,405.776527899204,416.472065277796,401.78665518749,406.101902720657,380.633485003517,389.767899623982,364.446000328281,389.701753843344,385.056397797125,397.983231300691
"57",401.01,408.579694689921,419.488935885952,404.47520645505,409.0623554905,382.803072266768,392.174652453043,366.570390028386,392.084633890123,387.585739213392,400.614486434995
"58",404.41,411.298061963488,422.440206049845,407.075795883265,411.966048625463,384.88103924924,394.504464577663,368.632806005618,394.383538623402,390.080642421369,403.174539281791
"59",406.76,414.045314157424,425.422144572365,409.702782788771,414.903101513504,386.970516068065,396.856728959012,370.71432567786,396.697996012608,392.603872865519,405.747363869858
"60",408.72,416.814698430644,428.432465861554,412.349628393943,417.875121894259,389.068583526795,399.215660708309,372.808419620387,399.012088348863,395.174940588822,408.34459477823
"61",411.66,419.608111735351,431.471254029119,415.017171101081,420.884773220223,391.161421538008,401.59358927184,374.900926167195,401.342610435539,397.795476074849,410.964138057203
"62",414.24,422.424061547636,434.536386991423,417.704534945838,423.9275618869,393.263327500959,403.987355444863,377.001281274686,403.683327676695,400.457953422788,413.604690439022
"63",416.45,425.261375172648,437.626407912804,420.411062703634,427.000204261786,395.3713851656,406.396537557005,379.112593662942,406.034623746999,403.157185421896,416.265499621028
